Date;Value
29.06.2010;5.000000
30.06.2010;6.084000
01.07.2010;5.184000
02.07.2010;4.620000
06.07.2010;4.000000
07.07.2010;3.326000
08.07.2010;3.504000
09.07.2010;3.580000
12.07.2010;3.614000
13.07.2010;3.728000
14.07.2010;4.030000
15.07.2010;4.300000
16.07.2010;4.260000
19.07.2010;4.450000
20.07.2010;4.370000
21.07.2010;4.180000
22.07.2010;4.250000
23.07.2010;4.312000
26.07.2010;4.300000
27.07.2010;4.236000
28.07.2010;4.180000
29.07.2010;4.176000
30.07.2010;4.088000
02.08.2010;4.194000
03.08.2010;4.390000
04.08.2010;4.436000
05.08.2010;4.310000
06.08.2010;4.032000
09.08.2010;3.996000
10.08.2010;3.930000
11.08.2010;3.776000
12.08.2010;3.580000
13.08.2010;3.690000
16.08.2010;3.760000
17.08.2010;3.880000
18.08.2010;3.918000
19.08.2010;3.850000
20.08.2010;3.822000
23.08.2010;4.078000
24.08.2010;3.942000
25.08.2010;3.996000
26.08.2010;4.054000
27.08.2010;3.974000
30.08.2010;4.038000
31.08.2010;3.958000
01.09.2010;4.138000
02.09.2010;4.248000
03.09.2010;4.260000
07.09.2010;4.200000
08.09.2010;4.190000
09.09.2010;4.210000
10.09.2010;4.186000
13.09.2010;4.180000
14.09.2010;4.320000
15.09.2010;4.400000
16.09.2010;4.632000
17.09.2010;4.264000
20.09.2010;4.270000
21.09.2010;4.310000
22.09.2010;4.190000
23.09.2010;4.028000
24.09.2010;4.038000
27.09.2010;4.162000
28.09.2010;4.298000
29.09.2010;4.406000
30.09.2010;4.430000
01.10.2010;4.150000
04.10.2010;4.234000
05.10.2010;4.256000
06.10.2010;4.252000
07.10.2010;4.128000
08.10.2010;4.158000
11.10.2010;4.140000
12.10.2010;4.056000
13.10.2010;4.170000
14.10.2010;4.206000
15.10.2010;4.180000
18.10.2010;4.128000
19.10.2010;4.082000
20.10.2010;4.138000
21.10.2010;4.190000
22.10.2010;4.186000
25.10.2010;4.196000
26.10.2010;4.374000
27.10.2010;4.276000
28.10.2010;4.300000
29.10.2010;4.370000
01.11.2010;4.550000
02.11.2010;4.376000
03.11.2010;4.500000
04.11.2010;5.066000
05.11.2010;4.994000
08.11.2010;5.000000
09.11.2010;5.138000
10.11.2010;5.994000
11.11.2010;5.820000
12.11.2010;6.100000
15.11.2010;6.588000
16.11.2010;6.280000
17.11.2010;6.150000
18.11.2010;6.148000
19.11.2010;6.274000
22.11.2010;6.690000
23.11.2010;7.136000
24.11.2010;7.194000
26.11.2010;7.200000
29.11.2010;7.190000
30.11.2010;7.066000
01.12.2010;7.284000
02.12.2010;6.860000
03.12.2010;6.450000
06.12.2010;6.290000
07.12.2010;6.480000
08.12.2010;6.498000
09.12.2010;6.544000
10.12.2010;6.584000
13.12.2010;6.354000
14.12.2010;6.078000
15.12.2010;5.994000
16.12.2010;6.182000
17.12.2010;6.308000
20.12.2010;6.438000
21.12.2010;6.538000
22.12.2010;6.572000
23.12.2010;6.496000
27.12.2010;5.716000
28.12.2010;5.350000
29.12.2010;5.602000
30.12.2010;5.580000
31.12.2010;5.450000
03.01.2011;5.400000
04.01.2011;5.390000
05.01.2011;5.380000
06.01.2011;5.600000
07.01.2011;5.716000
10.01.2011;5.736000
11.01.2011;5.742000
12.01.2011;5.480000
13.01.2011;5.394000
14.01.2011;5.316000
18.01.2011;5.128000
19.01.2011;5.094000
20.01.2011;4.890000
21.01.2011;4.718000
24.01.2011;4.962000
25.01.2011;4.978000
26.01.2011;4.976000
27.01.2011;5.016000
28.01.2011;4.976000
31.01.2011;4.824000
01.02.2011;4.946000
02.02.2011;4.836000
03.02.2011;4.780000
04.02.2011;4.734000
07.02.2011;4.652000
08.02.2011;5.050000
09.02.2011;4.836000
10.02.2011;4.728000
11.02.2011;4.750000
14.02.2011;4.828000
15.02.2011;4.634000
16.02.2011;4.994000
17.02.2011;5.098000
18.02.2011;4.698000
22.02.2011;4.600000
23.02.2011;4.500000
24.02.2011;4.516000
25.02.2011;4.770000
28.02.2011;4.820000
01.03.2011;4.864000
02.03.2011;4.856000
03.03.2011;4.958000
04.03.2011;4.998000
07.03.2011;5.080000
08.03.2011;4.992000
09.03.2011;4.998000
10.03.2011;4.898000
